ID,Points,Label
460,5360,"vvaka=*"
461,5017,".Bearz*"
462,949,"»iɈǾɃ«"
463,824,"Trinkflasche"
464,825,"Stray xP"
465,3325,"ulit-ulit"
466,7056,"Liverpool"
467,2003,"Zadaxs"
468,2200,"Zant"
469,1997,"CAHEK"
470,5511,"Noved"
471,1025,"No0B"
472,1297,"DaSpongi :>"
473,5600,"imp"
474,9788,"Themix"
475,1933,"Nomlow"
476,1154,"kaisei"
477,2026,"Zary"
478,9281,"d3fault"
479,6171,"Beast"
480,1077,"gB. | Kintaro*"
481,1287,"E=mc^2"
482,2473,"GeRRie"
483,2398,"Maple"
484,795,"B"
485,8471,"Meow~"
486,787,"trololo"
487,2034,"Alex"
488,1634,"british tea"
489,2118,"iCeTin2o"
490,2281,"[GõLDèñ]"
491,3271,"ParANormaL"
492,6856,"Blue"
493,1054,"Sayuri"
494,24333,"Starkiller"
495,4113,"TϞΩR"
496,3195,"Mischga"
497,755,"Good Hash"
498,5357,"Necrid"
499,4043,"Black-_-lotus."
500,2779,"Lada"
501,3017,"[Wu]*GzA"
502,691,"E R F A N"
503,4108,"Monkey D. Luffy"
504,3601,"Breivik"
505,1316,"Ren"
506,14461,"FUMOFFU"
507,707,"melodeath"
508,3226,"Koala.<3"
509,8272,"Vendetta"
510,10133,"Im 'corneum"
511,727,"Sirlomanoff"
512,12392,"Delirio"
513,613,"[+] BlueKitty"
514,1078,"Anti"
515,5823,"¥Sӈinøbi¥"
516,1828,"[ASK$]radpcx"
517,993,"Krotus"
518,1094,"Red"
519,1979,"µLTim8*"
520,1354,"Push"
521,1423,"Madii"
522,636,"Ajeres"
523,10608,"|Ŗaþŧurę|"
524,2173,"vex"
525,10170,"2oo"
526,702,"Prinlot"
527,6331,"Gr1t1sh"
528,1174,"f4c3"
529,21047,"triki"
530,975,"Altrax"
531,4878,"Antoki"
532,7158,"David*°Villa"
533,2258,"inch'."
534,1982,"ZONE"
535,9077,"iParano"
536,6837,"RedFight"
537,648,"JoJo'"
538,953,"McLovin"
539,1131,"Foxis"
540,1657,"Blitzy"
541,11328,"MSTAR"
542,3079,"Lags"
543,694,"Settings"
544,4239,"-nOobfighter-"
545,1360,"[SN] Snoop!"
546,4149,"MisterX"
547,1106,"tee"
548,1260,"kekse und tee"
549,3006,"Kushok"
550,792,"NsK"
551,4325,"Chill [TD]"
552,3161,"1"
553,1860,"007"
554,1067,"^^"
555,631,"Ṧḫâỉḇa"
556,885,"Darky"
557,2126,"ʞﻉkﮐ"
558,8223,"Bes"
559,602,"Arti"
560,5336,"MrAppendixX"
561,6789,"darky"
562,1424,"letins"
563,904,"siammei"
564,1220,"Темный"
565,624,"-art"
566,1520,"Flayer"
567,2210,"Svik"
568,2047,"Zero"
569,3824,"dummy"
570,1856,"Kurama"
571,616,"Mary"
572,5535,"snAko"
573,622,"yannick"
574,650,"Panda"
575,8353,"StorмPʜöɴix"
576,2296,"Der~G"
577,689,"noname"
578,661,"Ghosty"
579,5902,"Chirua"
580,10536,"Okami"
581,758,"Chillbreaker"
582,795,"a..."
583,6862,"Jericho"
584,3324,"Rem1x"
585,5881,"less"
586,2708,"VazovskiH"
587,652,"Ðαℑuιcy♥"
588,1911,"Smardey"
589,3433,"Skyrel"
590,1664,"Pupu"
591,864,"DOC###"
592,2906,"mustD1e"
593,1018,"☣₩a®҉☣"
594,1350,"CnupT"
595,886,"Capi"
596,1908,"(2)"
597,5503,"Lifkug"
598,1069,"T"
599,611,"GoJE GrEEN !"
600,733,"Den4ik"
601,1298,"multi"
602,611,"Slay"
603,2727,"*ExTr1Me*"
604,2221,"ScoFly"
605,10770,"Pwner"
606,1232,"Pyro"
607,1846,"Jubjub"
608,622,"Phoenix"
609,682,"ღChuCkyღ"
610,680,"valerar"
611,2442,"ingrysty"
612,854,"Phillchecker"
613,3998,"[...(-.-)...] J"
614,3716,"L"
615,778,"Miø :) ¼"
616,4246,"2.0|eule. <3"
617,6104,"Lenah"
618,1967,"n!ck"
619,3498,"Frucht"
620,3800,"DaKili :>"
621,680,"Dazz"
622,4925,"ProDiCaL"
623,7608,"XxDarkNezZ"
624,1109,"Fly* Coala{UA}"
625,1735,"Natsu"
626,2049,"AntiHero"
627,617,"Xenø™"
628,1891,"AgtBoom c:"
629,8269,"Puncha"
630,1681,"^"
631,1017,"Saito"
632,760,"MonkeyDream"
633,4207,"gB. | DiViNe"
634,886,"Midna"
635,2686,"Reaper"
636,3395,"walala"
637,3491,"General Shakes!"
638,3085,"pentagon!"
639,732,"DoZZer"
640,3883,"[<3]LibertY"
641,1377,"ZAYETS"
642,1528,"Error 404"
643,626,"Gamabunta"
644,774,"Darkvel"
645,3074,"N"
646,6555,"Cadi"
647,2399,"Trevor"
648,3764,"Haraknos"
649,1908,"procrastinate"
650,11325,"Hesse"
651,1360,"Nyu"
652,819,"Potato"
653,3332,"Ryu"
654,1784,"..."
655,2709,"Rico"
656,925,"Possseidon"
657,4218,"Bixes"
658,1737,"VloopS"
659,1469,"#Techi.'"
660,3171,"Sky-Cat"
661,3075,"Tavo"
662,1638,"levi"
663,1222,"Just Funny"
664,701,"Krast"
665,4015,"Bambino"
666,18655,"MPA3b"
667,1037,"BFBlMrAD"
668,3389,"Genefest"
669,1879,"Lonatic"
670,2333,"HMH"
671,6171,"smile"
672,2404,"Bossk"
673,703,"Zis? [argh?]"
674,784,"Helper"
675,5932,"Carl"
676,9272,"Tarzan"
677,2562,"Aero"
678,1386,"Blocker"
679,724,"cooki"
680,2071,"UniStyle"
681,2205,"SoliDeR"
682,1728,"chilli[AUT]"
683,1811,"HardRockSofa"
684,2386,"R1Se"
685,1148,"Matty"
686,3025,"Tailung"
687,774,"gB. | cHew*"
688,5249,"ChillerDragon"
689,976,"Ako"
690,2694,"Hemul"
691,768,"Hugo"
692,746,"<[k-B.MiZze]>"
693,1142,"Fledermausmann"
694,752,"Switcher"
695,1913,"miss"
696,5779,"Lilith"
697,3315,"Chak"
698,1673,"Kirito"
699,1080,"-Kayazuma-"
700,664,"85%*Ninja*"
701,2525,"Gönner"
702,1437,"KoPeHb"
703,3152,"Frieze_42rus"
704,3050,"Hakuna Matata"
705,607,"Smew"
706,1723,"Learath2"
707,686,"asdasd"
708,12414,"^b[Bro] flummi"
709,1989,"Be Happy"
710,2458,"Okidoki"
711,1250,"R!os"
712,944,"CaMmo"
713,729,"walterok"
714,5778,"FunCat"
715,977,"Harbinger"
716,3199,"trolol"
717,1610,"Architect"
718,4346,"Gen"
719,1136,"Energy :D"
720,5155,"Kandiifloss"
721,629,"H'ero*"
722,1597,"meter'."
723,10944,"NeXus"
724,6763,"Pio"
725,1000,"HATE"
726,10643,"SiuFu"
727,2845,"Neizvestniy"
728,2588,"₱am"
729,3137,"Denis T."
730,703,"[ES]Force"
731,1024,":"
732,4350,"TheZyZya"
733,723,"BRONOOB"
734,656,"Anna"
735,4664,"Pastèque"
736,970,"Nightwish"
737,1332,"G@$Tr0"
738,8896,"chopnixDE"
739,683,"Razor"
740,7881,"Saki`"
741,1121,"OpTiK"
742,8086,"zyr.f"
743,4266,"Captain Teemo"
744,891,"brainless"
745,2642,"Rayzon"
746,1080,"Nightmare"
747,603,"Wanda'"
748,1348,"Sarah'"
749,1135,"макс"
750,2439,"Mütze"
751,4264,"TX"
752,3184,"Key"
753,752,"Mr.TitTee"
754,1403,"Warthen"
755,2997,"SickCunt"
756,2933,"Dr.Dre"
757,951,"_+\\|{@|{TuC/+_"
758,613,"muhistar18"
759,973,"Draven"
760,8389,"Beard"
761,689,"PoKeMoN [TD]"
762,1176,"*SkiLLq"
763,4767,"Krombacher"
764,600,"Aria"
765,1791,"ViniDil [Kz]"
766,1480,"Myaso_O"
767,3628,"Alpha"
768,992,"Scorpik"
769,957,"izrok"
770,1478,"ArmenianBoy Kpo"
771,1164,"Ion"
772,3973,"Nexarius"
773,6172,"YaaOmo"
774,1422,"(O.o)"
775,1283,"KrOzOn"
776,8180,"Dherian!"
777,4343,"vrrtep"
778,720,"Legend"
779,2025,"janielle007"
780,1840,"Ace"
781,4904,"ania"
782,1246,"Hi"
783,2020,"lol"
784,8945,"nether"
785,1238,"Сушист"
786,1221,"¤Ying&Yang¤"
787,806,"Lifklas"
788,3329,"Kata"
789,4061,"Krumplee"
790,2192,"PenguiN[NSC]"
791,3570,"Patzelt"
792,3739,"2.0|Knuckle :3"
793,3614,"Immortal"
794,970,":D"
795,2784,"KOMПOT"
796,2159,"Jerry"
797,3152,"oBc.Laki"
798,1485,"oBc.ώhøτÿ"
799,2029,"Blablabla.BOSS"
800,1581,"((((()))))"
801,1110,"Dino"
802,2041,"Fatal"
803,6051,"Folugen"
804,4920,"SBL"
805,836,"cold"
806,3244,"DNIWE"
807,927,"dikser16"
808,1519,"Monsta"
809,2625,"Smile"
810,6364,"texnonik"
811,3800,"Saratov SU 1"
812,5808,"ржавый"
813,2521,"xBoy"
814,2805,"Shotokan"
815,673,"FuckYeah"
816,2610,"Cammo"
817,1884,"Yar"
818,8934,"The real LOL"
819,4547,"FerzaK"
820,1029,"Hannibal"
821,637,"Style"
822,757,"Schwabbelmadron"
823,1139,"Crunchy"
824,4787,"Alice30"
825,9371,"950"
826,996,"retry*"
827,3850,"Night_L"
828,2817,"obvious tee"
829,3655,"Confused"
830,2324,"lx07:3"
831,2608,"moxi"
832,1905,"aQnity"
833,1015,"Yamado[GER]"
834,1039,"x"
835,5749,"Sir Knuddel"
836,5637,"ano :3"
837,809,"Lionis"
838,1696,"Герыч"
839,9080,"Jojo"
840,8013,"Neko"
841,9517,"Super"
842,704,"|SD|Tailung"
843,4202,"Dr.Meth"
844,1852,"Solo"
845,1043,"Yitan"
846,2793,"Vaginuss"
847,2528,"Bibo"
848,3222,"TechnoBär !"
849,1143,"Juliax3"
850,3917,"MMilos"
851,3433,"l2p"
852,1342,"Sunny"
853,1564,"Punica"
854,1675,"Hitaru"
855,2447,"Kpro996"
856,3159,"Sv47"
857,816,"nomod"
858,829,"Momo"
859,3249,"paulmost"
860,1747,"Tom"
861,3100,"Cherry"
862,3135,"Anxton"
863,5588,"íᶮϠi"
864,1423,"ᴷᵉᵏᶳ"
865,4542,"Pear Bloom"
866,2858,"Acrostock"
867,3348,"EndCloud"
868,614,"PANCITO"
869,4392,"Xploit"
870,2752,"Cephyx"
871,1844,"._."
872,701,"Pi"
873,1278,"Egy"
874,725,"isen"
875,849,"Teaworlds"
876,1043,"[FR] PJK"
877,672,"shw"
878,2370,"Shywan"
879,977,"Nocsis"
880,1293,"Krap"
881,1872,"Чудо-Юдо"
882,2114,"Carven"
883,4551,"Negativ"
884,2222,"Herofox"
885,4229,"♥|Duca"
886,1031,"Nixchecker"
887,2590,"wTf*CkInG'hEll"
888,2198,"javi"
889,2269,"LoLikO"
890,932,"game over"
891,1736,"Cerry"
892,1915,"Götze ~|♫"
893,1433,"MuFFiN"
894,1486,"Cony!! *-*"
895,2594,"'TasVan :$"
896,1297,"ultimatee"
897,3601,"DragonForce"
898,1067,"Wanted"
899,15793,"Konsti"
900,738,"asd"
901,1761,"Varon"
902,1116,"klopapier"
903,3646,"Would?"
904,1253,"^-LiVoS-^"
905,828,"exile.'"
906,775,"solala.'"
907,1430,"Tharseo"
908,2202,"nameless"
909,874,"ok"
910,671,"Toaster"
911,841,"Z"
912,1307,"Jeff"
913,2341,"Flaca"
914,661,"Monkey D Amix"
915,2086,"ultimatum :)"
916,627,"Master-Chief"
917,3924,"Imba"
918,6269,"bob"
919,968,"BOB"
920,2099,"Kosho"
921,837,"O_o"
922,4385,"FanTal1ty"
923,2195,"CookieAlex"
924,999,"Javier"
925,3305,"Cr3amL0v3r"
926,1798,"Mango"
927,2116,"'Zavier"
928,2753,"valex32"
929,1525,"Lilly"
930,3375,"koyer"
931,2324,"Nacha:3"
932,1130,"-=SNZDuMoHRUS=-"
933,713,"Toreto"
934,957,"Fanoman"
935,838,"Argon"
936,615,"PO"
937,3697,"Anqel"
938,5815,"Mannyking"
939,4830,"BannZay"
940,1790,"Floppy"
941,1821,"RoyalPain☺"
942,1178,"Altair"
943,2536,"pVp"
944,5304,"Kuchen"
945,1122,"333333333333333"
946,1001,"A$AP JudaS"
947,2089,"Olaf"
948,1226,"RockNRolla"
949,10498,"Du4b"
950,1273,"jetfoil"
951,979,"(1)/\\ssa"
952,5182,"Hoseкonseкo"
953,7953,"Jakral"
954,3359,"Dummy"
955,1326,"H8_SeeD"
956,1724,"Dr4gg3r"
957,4215,"cx384"
958,7590,"Frr :3"
959,2976,"Ñı©Ø"
960,5025,"Gridwyn"
961,920,"Andre"
962,831,"Shinigami"
963,1576,"Bomb"
964,1284,"PoZzzitif"
965,668,"Night"
966,943,"Teemo"
967,3951,"°Tee°"
968,1293,"=CuBe="
969,1825,"Mr. Tosty"
970,4650,"Luk4s"
971,1260,"jonn"
972,2538,"vanik"
973,966,"BorN_To_LeaD"
974,1853,"Siro"
975,1859,"-Chaka_Baby-"
976,603,"Lucky"
977,3771,"Spawn1221"
978,3334,"Moooo"
979,735,"Cookie"
980,666,"nissi"
981,3565,"Zer0"
982,1099,"lalalalala"
983,2924,"Avio"
984,804,"Felix"
985,3066,"╒╕ḼӍ₳"
986,1245,"DEADMAN"
987,8634,"Pepe"
988,3590,"Majstor"
989,1001,"Jake"
990,1122,"reGa[Myx]"
991,644,"Fuzzi"
992,1392,"zomsik"
993,807,"xar"
994,4620,"Savander"
995,908,"True© nameless"
996,866,"purple"
997,622,"Gamer"
998,2774,"diegox"
999,720,"Nope"
1000,1270,"Miriael"
1001,996,"Cat"
1002,6017,"Element Finland"
1003,680,"Nudel.*"
1004,11896,"sorgaxD"
1005,826,"Gon"
1006,750,"(graphist)"
1007,3413,"ExtasiS"
1008,4935,"Valee>:c"
1009,1482,"☥jeriko☥"
1010,699,"Chu"
1011,1558,"Alisa"
1012,2202,"Opana"
1013,2986,"Mystery"
1014,1015,"NayderZ"
1015,880,"Moon_Blue"
1016,1486,"Absoliwt"
1017,1210,"♣GeneralRh♣"
1018,1057,"Moini"
1019,1769,"Cry"
1020,3210,"Negro gay"
1021,976,"Kyosuke"
1022,861,"iFireCatz'<"
1023,1630,"Sami"
1024,2066,"Bob"
1025,1893,"gherode"
1026,4522,"Nidalee"
1027,7172,"tinky"
1028,2409,"ChillerDragon.*"
1029,1835,"Inspired"
1030,1278,"I"
1031,8716,"⚡-ӃR١✗✗"
1032,828,"Drölf"
1033,1347,"Fünnioitus!"
1034,2067,"Saw"
1035,785,"Evoli"
1036,2907,"Obito634"
1037,7249,"hi_leute_gll"
1038,7271,"stompie"
1039,624,"shrapx"
1040,3568,"eRbii"
1041,1465,"Puffleking"
1042,2785,"Toster"
1043,2890,"Soreu"
1044,774,"Pain"
1045,877,"Darki"
1046,663,"Kurwa"
1047,2174,"Numb.Encore"
1048,2040,"Rashu"
1049,1523,"Av@ron0ne"
1050,1091,"infamous."
1051,1028,"!N1ck!"
1052,1997,"Para"
1053,4278,"Risk"
1054,2526,"Tee-Shirt"
1055,656,"cAт"
1056,2327,"wildcat"
1057,2429,"130tee"
1058,21569,"bano"
