Rank,Player,Points,TotalTime(Hours)
641,婧婧,3747,530.47
642,2.0|Knuckle :3,4591,529.88
643,dummy,4659,529.81
644,Light,3394,529.7
645,k1r1ha,5275,529.66
646,任然,4871,529.47
647,Luxury,7815,528.63
648,!!!,4412,528.49
649,Hav,8739,527.75
650,one shadow,4624,527.39
651,SH[]CK,5826,526.82
652,Carl,6041,526.29
653,依否,4148,525.84
654,3369,5191,525.51
655,Trâzk,8042,525.2
656,vento123,28,525.07
657,valeROM,8765,524.55
658,diejob,5084,524.43
659,SvechAS,6321,524.37
660,虾仁猪心,3935,524.05
661,15867945,2204,524.04
662,Elsa Cowea,11340,523.58
663,水星星,3565,523.29
664,Ark :3,10496,523.21
665,Apchih,7444,522.98
666,Saki`,9907,522.87
667,Gorden,16495,522.26
668,88,2808,522.15
669,柒,3411,522.13
670,Ayame,10772,521.78
671,晴天,6456,521.74
672,PenCi1,3603,521.68
673,Jawsh,13200,521.45
674,Jonaà,8480,521.29
675,3oTo,11007,519.76
676,忙时,4092,519.15
677,72,6170,518.28
678,lis,4318,518.12
679,-Twist°~,10323,517.41
680,Robot?,6363,517.34
681,Chris ❆,3827,517.21
682,Mazen,3700,516.93
683,TeeLee,10230,516.49
684,cB|henki,8745,516.44
685,ChillerDragon,5479,515.71
686,明月yyds,4390,515.26
687,大聪明,2090,514.85
688,Skadi,10148,513.65
689,Ark,4126,513.53
690,lan,3425,513.12
691,ZameR,7755,512.22
692,Chirua,7454,512.08
693,Bertl,1472,512.03
694,Skyrx,13200,511.58
695,刀刀,5060,511.54
696,ÑE,8196,511.29
697,kyokaiwei,3434,511.14
698,nooby,3196,510.83
699,GlennP90,4639,510.74
700,AM|Notorious✔,7091,509.57
701,SmokeR,5477,509.31
702,刘亦菲,2614,508.16
703,aMu,7085,508.01
704,Profi,12376,507.99
705,小柒,4341,507.28
706,=phacrum=,8833,506.85
707,Hake,11313,506.69
708,⚡-ӃR١✗✗,9761,506.57
709,Faymir,3721,505.86
710,當歸,2517,505.84
711,Pish4,7269,505.73
712,Мамбо,13299,505.65
713,Bearcat,7226,505.26
714,(2),2559,505.11
715,緋月,3670,504.86
716,豆腐打怪兽,2705,504.46
717,Anqel,6559,504.35
718,阿甘,2387,504.29
719,Filis,12299,503.84
720,Zasa,9511,503.65
721,Pedro,5233,503.1
722,stellar12,2751,502.83
723,Arzatar,5943,501.78
724,Cartman,8304,501.57
725,Skindred,6464,501.51
726,...,2597,501.49
727,PaHDeRa,11573,501.37
728,志村妙,2823,501.25
729,n000b,5899,500.83
730,Hesse,13051,500.5
731,texnonik,7995,500.38
732,trolol,4249,500.31
733,Uiz,1933,500.24
734,呆呆带带,4548,500.17
735,与有荣焉,3829,499.96
736,TeRaTeX,8658,499.88
737,清欢渡,4935,499.49
738,shiangy,3888,499.07
739,Tom,2093,499.05
740,Fourvride,8282,498.85
741,Fexa,8931,498.56
742,Atomic,9558,498.05
743,yxZero,4259,497.8
744,Kati,11088,497.76
745,葫芦兄弟,3891,497.5
746,staylo,7029,497.42
747,Chad,7154,497.27
748,Wiplash,6318,497.17
749,搁浅,4782,496.64
750,The Real Nami,8281,495.99
751,Vycik,9412,495.85
752,Broniya,6686,495.37
753,Fumm,6930,495.12
754,snailx3,8129,495.09
755,Majestic Fluff,4321,494.97
756,过河小兵,2044,494.96
757,natchies,10606,494.55
758,Super,11026,493.86
759,Fireball,8765,493.85
760,AY,3500,493.38
761,rhino,11491,493.38
762,十七岁八云,4002,492.39
763,ulit-ulit,4673,492.36
764,NYZE,9278,491.97
765,Mery ♥,3114,491.75
766,PinkiePie,4166,491.12
767,nether,8982,491.06
768,Deril,4635,489.1
769,AbyssY,9379,488.92
770,Rr,4116,488.32
771,魔鬼帝国,1744,488.28
772,ghrn,4913,488.02
773,TetsuoFujiwara,3195,487.92
774,Matrose l_I,6355,487.59
775,DAgz,7573,487.45
776,AspHyXiA,10602,487.19
777,Yek,9632,487.15
778,bindi,8305,487.06
779,Togepi,6185,486.67
780,Snark,4657,486.58
781,ΌℬitO➏34,7383,486.32
782,íᶮϠi,9549,486.0
783,yishun,12130,485.83
784,itsnoKonsti,7485,485.79
785,鹿麋,4014,485.27
786,Vendetta,8889,485.21
787,Charlie➶,7271,484.95
788,painn,6162,484.64
789,VéNa,12506,484.3
790,MrAppendixX,5378,484.04
791,cheney138,3790,483.91
792,Gambol,7353,483.91
793,another,4660,483.72
794,Lier.,5561,483.44
795,Kandia,7273,483.35
796,Rance,3696,482.77
797,ItachiEA,7684,482.75
798,Mr Zhai,2187,482.6
799,[D] SileNt ▪,3685,482.59
800,02cguner,3273,482.41
801,Avasus,9839,482.38
802,ddnet player,2576,481.99
803,mo,5357,481.66
804,花宇回,3520,481.61
805,伊清巰,3746,481.58
806,lx07:3,7639,481.19
807,~Sr.Trululu~,8669,480.7
808,Intlige_K@1997,4758,480.48
809,CrazyDuck,2514,480.21
810,c0d3d3v,5426,480.07
811,Polector,7974,479.94
812,Hieloo,6192,479.79
813,GreenDragons,5373,479.65
814,Sama,12427,479.3
815,maggi323,12447,478.92
816,Kenny,2036,478.9
817,Novo c:,10375,478.43
818,clefairy',12045,478.23
819,Qywinc,10085,478.14
820,Luna,6980,478.0
821,nobybiggesttrol,4,477.74
822,der_klang,9176,477.67
823,空城,4830,477.63
824,BannZay,5259,477.54
825,noi2coco,3601,477.1
826,Cloudly,7383,477.1
827,Y,2532,476.6
828,tutu,2349,476.6
829,靓女❤,3905,476.03
830,xiyi,2749,475.87
831,阿链,2915,475.77
832,嘤嘤嘤,1882,474.75
833,ASsassin,5469,473.93
834,鲜血配色,5752,473.59
835,TchCaro,3739,473.36
836,阿巴阿巴,790,472.99
837,rockuS,11407,472.8
838,anonymous,7529,472.54
839,来根华子,3635,472.48
840,喔齁,2324,472.34
841,臭之屎,1649,472.22
842,mid,7482,472.2
843,handi,6844,471.88
844,Poltix,11387,471.82
845,Łaszczu,5125,471.58
846,의리,4097,470.68
847,͡° ͜ʖ ͡°,8310,470.45
848,GOO,5993,470.16
849,lara,3089,470.1
850,Landmine地雷,3954,469.92
851,Welshi,3872,469.9
852,檐下三寸雪,4310,469.63
853,bai,4795,469.6
854,darky,11086,469.39
855,hi_leute_gll,8723,468.55
856,YeizouTheTurtle,3904,468.37
857,AFFI,4117,467.74
858,a10033517,2332,467.69
859,Kai'Sa,3952,467.48
860,NPWilde,4275,467.46
861,别惹我,4616,467.41
862,CraCk,4528,467.35
863,Doinks,685,467.14
864,asu,5166,466.94
865,CoBa,6271,466.93
866,kenzo,11388,466.78
867,阿正,2570,466.75
868,..,1285,466.53
869,esketit,5579,466.43
870,venoM,10524,466.24
871,Joker.♥,12033,466.01
872,救我一命,2605,465.8
873,Sorah,7200,465.73
874,XZMF,4057,465.43
875,Artich,4534,465.31
876,KRN,3696,464.83
877,Angell,6375,464.81
878,jette,4524,464.76
879,Fizz mid,5940,464.42
880,TeeFreZZ7Tee,7229,463.47
881,nuborn,5010,463.43
882,>(^.^)>#,3043,463.4
883,Meliodafu,12036,463.11
884,Bug,11486,463.01
885,clementine,2882,462.65
886,小黑,1088,461.97
887,Trap,7640,461.44
888,Albano,8240,461.36
889,eStylez,2835,461.34
890,Scaar,4664,461.22
891,CrystalOnix,6651,460.13
892,Fimp,11227,459.78
893,不是雨苗,3013,459.72
894,iris,2763,459.46
895,|M| Hugo,6591,458.97
896,٭ıƞdex'<3,8322,458.94
897,noler oj,7699,458.69
898,sarelemele,9214,458.62
899,青い,4022,458.38
900,魯哈哈,3935,457.83
901,兔,3209,457.68
902,是餅乾喔,4547,457.59
903,驰哥爱小猪,3697,457.12
904,Angelofsicness,871,456.75
905,Cougar~,12269,456.1
906,Pinou,3505,455.98
907,牧瑜魂,2318,455.94
908,VVVV,3022,455.94
909,shocK,2341,455.48
910,千洛丶,2607,455.22
911,gura shark,3899,455.08
912,Shadou,8721,454.31
913,这里时陌鸭,2805,454.23
914,TuTioGabo,3485,454.14
915,xoxo,5491,453.8
916,Ganjah,6971,453.76
917,ALPHA,10582,453.6
918,fox,5757,453.55
919,wms712,3426,453.22
920,S0PRAN0,6227,453.15
921,cfyx,3498,453.15
922,Sahra,2387,453.09
923,Zaracher,7465,452.98
924,BAKAER,3777,452.94
925,三笠,3438,452.79
926,Spooky,11532,452.71
927,Pistro,7846,452.51
928,☆.Sυsнι♪,11241,452.32
929,Ѡєєzϻє,7730,451.71
930,hZedres,7377,451.52
931,Sad*Boy,8820,451.32
932,By^Kuroko,5663,451.28
933,Scrumplex,4504,451.24
934,sMo0g,7798,451.2
935,CyborgSmurf,2687,451.06
936,Pwner,10820,450.96
