Rank,Nickname,Points,Insane_pts,List_of_insane_maps
362,heinrich5991,2328,110,[('Not Naufrage 4', 34), ('Genericore 6', 34), ('Back in Time 2', 42)]
363,Stimero,2337,34,[('Springlobe 3', 34)]
364,KrosH,2357,34,[('Generic World', 34)]
365,Lunamy,2364,42,[('Back in Time 2', 42)]
366,Cana,2380,76,[('Back in Time 2', 42), ("Yo'Ci", 34)]
367,Gorilla,2403,42,[('Back in Time 2', 42)]
368,Trevor,2424,38,[('HellCore', 38)]
369,BooNi,2425,76,[('Justice 2', 42), ('Justice', 34)]
370,zeldita,2471,72,[('Adrenaline 4.1', 34), ('Ravillion', 38)]
371,hellrider,2490,38,[('Ravillion', 38)]
372,Kei,2510,110,[('Genericore 6', 34), ('Aimazing', 34), ('Back in Time 2', 42)]
373,Liesus,2515,34,[('Genericore 6', 34)]
374,CoRTeZZZ,2520,34,[('Generic World', 34)]
375,ReyDeuce,2546,42,[('4u', 42)]
376,Henk,2591,34,[('Not Naufrage 4', 34)]
377,Moon,2639,34,[('Ton', 34)]
378,Gogi,2657,110,[('Shockwave', 34), ('Back in Time 2', 42), ('4q', 34)]
379,Pfefferminz_,2661,34,[('Shockwave', 34)]
380,Thundercat,2685,42,[('Back in Time 2', 42)]
381,Cagih,2720,34,[('Binary', 34)]
382,Pio gay,2721,34,[('Springlobe 3', 34)]
383,Tenday,2726,140,[('The Enchanted Clearing', 34), ('Adrenaline 4.1', 34), ('Ravillion', 38), ("Yo'Ci", 34)]
384,__,2744,34,[('Genericore 6', 34)]
385,coany,2753,42,[('Back in Time 2', 42)]
386,Volvicc,2757,42,[('Back in Time 2', 42)]
387,Busted,2757,34,[('Springlobe 3', 34)]
388,Cendren,2778,228,[('Adrenaline 4.2', 34), ('Aimazing', 34), ('Springlobe 3', 34), ('Adrenaline 4', 50), ('4q', 34), ('Back in Time 2', 42)]
389,Neox,2786,34,[('Generic World', 34)]
390,Savalic,2790,76,[('Binary', 34), ('Back in Time 2', 42)]
391,Nerox,2805,34,[('4q', 34)]
392,Knuskii,2807,72,[('Binary', 34), ('Ravillion', 38)]
393,:x,2810,34,[('4q', 34)]
394,[NinjaSkill]:ON,2864,34,[('The Enchanted Clearing', 34)]
395,Tyodok,2891,34,[('Ton', 34)]
396,Overlord,2942,42,[('Back in Time 2', 42)]
397,louis,2972,76,[('Aimlicious', 42), ('Springlobe 3', 34)]
398,Syntex,3000,34,[('Justice', 34)]
399,Marcell_HUN,3009,80,[('Heartcore', 42), ('Resistance', 38)]
400,*WuDL*,3060,72,[('Genericore 6', 34), ('HellCore', 38)]
401,Boci,3070,34,[('Springlobe 3', 34)]
402,n1~NoNStoP,3080,34,[('Adrenaline 4.1', 34)]
403,Arch Linux,3142,114,[('Ravillion', 38), ('Back in Time 2', 42), ('4q', 34)]
404,Ted,3154,42,[('4u', 42)]
405,Mos is fat,3167,68,[('Binary', 34), ('Generic World', 34)]
406,worstwish,3174,34,[('Binary', 34)]
407,anything,3294,72,[('Ravillion', 38), ('4q', 34)]
408,n000b is gay,3302,34,[('Adrenaline 4.1', 34)]
409,Zoɇy,3303,68,[('Adrenaline 4.1', 34), ('Adrenaline 4.2', 34)]
410,Feodal,3380,34,[('4q', 34)]
411,!_Vergeboy_!,3391,34,[('Justice', 34)]
412,Deadpool,3398,72,[('Shockwave', 34), ('Ravillion', 38)]
413,Dummy,3448,42,[('Heartcore', 42)]
