Map: Time, Date
Highlife:	282.66,	2017-08-07 17:34:00
run_pink.lila:	56.18,	2017-08-07 18:46:24
Tropica:	647.16,	2017-08-07 19:50:04
run_ffs:	34.42,	2017-08-07 23:04:33
Night Jungle:	1207.24,	2017-08-08 14:56:44
Limitation:	417.86,	2017-08-09 14:15:41
Absurd 3:	154.9,	2017-08-09 21:09:30
run_not_short:	105.16,	2017-08-11 16:58:59
run_inset_into_the_heavy_jungle:	165.36,	2017-08-11 17:58:49
run_skizz_keres:	182.62,	2017-08-13 01:10:05
CrashTV:	364.78,	2017-08-13 11:32:49
run_heaven_and_hell:	87.48,	2017-08-16 18:10:52
Minimum:	678.02,	2017-08-17 20:21:22
run_WARmoepopo:	30.52,	2017-08-17 20:44:06
Imagination3:	767.66,	2017-08-19 00:17:38
HDP_OnOff:	82.42,	2017-08-20 20:07:34
HardcoreZ:	1407.6,	2017-08-21 18:06:38
run_g6:	5.26,	2017-08-22 14:53:52
Sky Movement:	154.88,	2017-08-22 18:58:38
run_forrest:	36.98,	2017-08-22 21:28:42
run_4mystery:	38.2,	2017-08-24 06:31:59
Golden_Evening:	84.04,	2017-08-24 16:14:06
Eruption:	609.34,	2017-08-24 23:00:38
Lost Story:	471.86,	2017-08-25 15:02:47
run_blood_thirst:	197.34,	2017-08-25 22:12:22
MorningStar:	124.4,	2017-08-26 11:14:38
run_crystal:	40.94,	2017-08-26 23:39:48
run_miniatur:	36.02,	2017-08-27 09:02:52
NUT_race8:	26.4,	2017-08-27 11:50:46
run_pencil:	29.58,	2017-08-28 01:28:34
Biome Master:	114.18,	2017-08-28 07:11:02
run_yellow:	27.54,	2017-08-28 09:03:24
run_4tzoy:	36.62,	2017-08-29 05:10:24
run_pokemon:	140.46,	2017-08-31 07:37:14
run_black_white:	64.42,	2017-09-01 05:46:29
run_stoned:	110.42,	2017-09-02 04:10:24
run_black_jack:	54.3,	2017-09-03 02:39:47
run_InTheHell:	32.02,	2017-09-03 03:14:44
run_shadow:	101.54,	2017-09-03 20:33:49
run_skizzrettex:	112.7,	2017-09-04 03:43:04
run_pinky:	120.0,	2017-09-04 06:45:18
Aufnahmetest 3:	67.66,	2017-09-07 15:24:09
run_toxic_green:	40.14,	2017-09-09 10:10:14
AnotherEra:	638.7,	2017-09-09 18:51:58
run_long_for_popo:	53.44,	2017-09-10 03:55:10
run_experience_of_incredibleness:	51.96,	2017-09-10 05:55:51
run_for_ghost:	58.02,	2017-09-11 04:26:43
Verification 6:	32.04,	2017-09-13 16:36:54
run_the_cure:	62.04,	2017-09-14 21:43:36
Broken brain:	175.82,	2017-09-15 14:41:19
Weird Cave:	196.5,	2017-09-15 16:00:37
Lucid Dream:	39.3,	2017-09-16 21:47:52
run_three:	146.04,	2017-09-17 07:00:08
selfdragger:	61.1,	2017-09-19 14:13:55
Desert Night:	53.1,	2017-09-20 15:30:37
ForeverAlone:	94.74,	2017-09-21 16:03:07
Hope:	460.82,	2017-09-21 23:38:56
Anoteex:	275.52,	2017-09-23 10:03:41
VeryLow1:	793.72,	2017-09-23 21:33:55
Chaos 2:	556.74,	2017-09-24 22:15:13
Grand Shotgun:	162.18,	2017-09-25 14:36:20
Chaos 1:	710.0,	2017-09-25 23:38:04
Eagle Race Compilation:	1518.0,	2017-09-28 22:01:03
AK:	975.54,	2017-09-29 18:10:26
Just Hookfly 1:	93.44,	2017-09-29 22:51:12
Grind:	164.44,	2017-09-30 11:24:48
Castoreum:	964.16,	2017-09-30 23:38:04
Aufnahmetest:	66.86,	2017-10-01 12:40:53
run_4xerhul:	64.5,	2017-10-04 05:07:00
Aufnahmetest_AE:	57.76,	2017-10-04 06:28:41
Kassin:	727.38,	2017-10-04 17:44:08
Poreotics:	353.34,	2017-10-05 18:18:21
Hell Fly:	192.04,	2017-10-08 11:46:03
Genericore 4:	1092.4,	2017-10-08 14:05:15
Tunak Tunak Tun:	393.08,	2017-10-09 00:19:39
run_redbull:	47.06,	2017-10-09 03:40:13
run_painted:	47.16,	2017-10-09 05:35:05
run_unschaffbar:	57.28,	2017-10-09 07:39:56
run_spring:	67.4,	2017-10-09 08:07:43
Gigabyte:	46.8,	2017-10-09 14:07:47
Encore:	135.22,	2017-10-11 00:30:19
Just Fly 3:	116.84,	2017-10-15 00:06:16
It'sYourDeath:	164.5,	2017-10-15 14:05:33
run_alboni:	293.62,	2017-10-17 04:07:10
WallJump:	117.44,	2017-10-17 14:57:22
Summer Hell:	1002.56,	2017-10-17 23:20:57
Guhimbarwa:	517.16,	2017-10-18 01:05:25
Spiders:	167.7,	2017-10-18 16:21:46
ZeroX:	249.6,	2017-10-19 21:26:07
Tough:	640.86,	2017-10-19 23:55:41
Hardcore 2:	284.76,	2017-10-20 03:43:02
Lowcore:	79.86,	2017-10-20 16:43:14
Partenack:	188.34,	2017-10-21 15:06:32
Im No Superman 3:	163.3,	2017-10-22 02:01:42
Pharoah:	129.32,	2017-10-22 15:26:13
Im No Superman 2:	650.74,	2017-10-22 19:18:21
Im No Superman 1:	215.44,	2017-10-22 21:17:23
Heraconx:	125.26,	2017-10-23 15:21:16
[SI] YELLOW:	72.92,	2017-10-23 16:40:05
Lamb:	221.74,	2017-10-24 16:23:05
deadrun:	22.42,	2017-10-26 14:23:00
Slow Santa:	871.62,	2017-10-26 22:15:16
Bullets:	113.72,	2017-10-27 10:51:04
Art of Movement:	45.92,	2017-10-27 13:59:14
The Trip:	467.5,	2017-10-27 15:09:44
Stoned.:	386.76,	2017-10-27 22:30:37
GetSpeed2:	272.5,	2017-10-29 15:31:21
Maximum speed:	262.78,	2017-10-30 13:02:22
WSMS:	41.28,	2017-10-30 16:06:42
RockClimb:	48.26,	2017-10-31 13:09:18
Cloud Nine:	631.08,	2017-11-02 06:12:37
SkyCave:	28.14,	2017-11-02 16:41:06
Lucifer:	797.12,	2017-11-03 20:17:01
Sperance:	1409.9,	2017-11-03 21:19:00
Michler:	1017.56,	2017-11-04 12:47:11
Infinity:	992.4,	2017-11-04 18:59:43
HearTbeaT:	2084.64,	2017-11-05 15:24:51
Ultimatum 3:	216.46,	2017-11-05 19:53:35
DeepEdge:	105.48,	2017-11-06 16:55:09
run_ankii:	8.04,	2017-11-06 18:14:56
